Drug1,Drug2
DB00472,DB01356
DB00550,DB01262
DB00798,DB01169
DB00864,DB01076
DB00472,DB01593
DB00541,DB03568
DB00316,DB01880
DB01229,DB04216
DB00627,DB00966
DB00763,DB01356
DB00203,DB00624
DB00526,DB01045
DB00550,DB00763
DB00541,DB00741
DB00472,DB00550
DB00541,DB00966
DB00331,DB00947
DB00783,DB02285
DB00481,DB03568
DB00134,DB00982
DB00796,DB01454
DB01262,DB01919
DB01118,DB03796
DB00472,DB01394
DB00197,DB00970
DB01149,DB01229
DB00641,DB02709
DB00481,DB00966
DB00641,DB04703
DB00512,DB00977
DB00399,DB00997
DB00305,DB00834
DB00201,DB00526
DB00624,DB00796
DB00325,DB00907
DB01050,DB02533
DB00822,DB04540
DB00472,DB01234
DB00977,DB01345
DB00158,DB00437
DB00523,DB01454
DB00624,DB01373
DB00316,DB00421
DB00279,DB00396
DB00255,DB04115
DB00822,DB00977
DB00255,DB04540
DB01093,DB02709
DB01017,DB02587
DB00313,DB00871
DB01041,DB02546
DB00122,DB01222
DB00316,DB01094
DB01115,DB04115
DB00264,DB01229
DB00331,DB00841
DB00428,DB04348
DB01115,DB04540
DB00170,DB01045
DB00694,DB00898
DB00550,DB01698
DB00499,DB00503
DB00550,DB00564
DB00503,DB02709
DB00755,DB01852
DB00412,DB03467
DB00619,DB00755
DB00783,DB01232
DB00982,DB01645
DB00317,DB00586
DB00571,DB00788
DB00412,DB02901
DB00104,DB00316
DB00586,DB00636
DB00122,DB00822
DB00316,DB04513
DB00134,DB00175
DB00959,DB02709
DB00974,DB02709
DB00834,DB00864
DB01370,DB04557
DB00166,DB01296
DB00277,DB04173
DB01045,DB01593
DB01076,DB01296
DB00636,DB01254
DB00388,DB00399
DB00898,DB01296
DB00451,DB03843
DB00526,DB01370
DB00396,DB04468
DB00363,DB01039
DB00441,DB00605
DB00388,DB00928
DB02379,DB03255
DB00564,DB00871
DB00295,DB00741
DB00499,DB02587
DB00091,DB00834
DB00495,DB01169
DB01149,DB01262
DB00313,DB04827
DB00136,DB00993
DB00317,DB00783
DB00162,DB01174
DB00675,DB03255
DB00179,DB03843
DB01076,DB04557
DB00746,DB04540
DB00563,DB04540
DB00898,DB04557
DB00279,DB00470
DB00947,DB02587
DB00550,DB00746
DB00312,DB02709
DB00331,DB01042
DB00126,DB01050
DB00399,DB00877
DB01593,DB04540
DB00363,DB00636
DB01093,DB01356
DB00783,DB02709
DB00515,DB02701
DB00783,DB04703
DB00499,DB01586
DB00396,DB00458
DB00179,DB00428
DB00368,DB04173
DB01045,DB01234
DB01017,DB01645
DB00563,DB00566
DB00399,DB00531
DB00544,DB01050
DB00470,DB02546
DB00542,DB00783
DB00169,DB00755
DB00945,DB01577
DB02232,DB04216
DB00184,DB04557
DB00277,DB01085
DB00396,DB01097
DB00564,DB04827
DB00277,DB00762
DB00158,DB02701
DB00254,DB02709
DB00822,DB00988
DB00795,DB00997
DB00624,DB01039
DB00126,DB00859
DB01064,DB02709
DB01064,DB04703
DB00975,DB04216
DB01093,DB01394
DB00091,DB00773
DB00126,DB02169
DB00822,DB00987
DB02709,DB04743
DB00412,DB03619
DB00126,DB00759
DB00829,DB01234
DB00727,DB00741
DB00411,DB02709
DB00136,DB00624
DB00295,DB00975
DB00977,DB04540
DB00407,DB00798
DB00325,DB00515
DB00755,DB01200
DB00544,DB00859
DB00741,DB02533
DB00945,DB02169
DB00499,DB01645
DB02709,DB03166
DB00437,DB00624
DB00175,DB01174
DB00755,DB00947
DB00396,DB01065
DB00544,DB00759
DB00822,DB01393
DB00959,DB01394
DB00636,DB00864
DB01042,DB01577
DB00783,DB01356
DB00678,DB00834
